time,f0,confidence,loudness
81.64,658.9817045675072,0.08248356,-12.426699280974196
81.65,623.2145408955829,0.082948476,-12.44966891355907
81.66,625.0985162104591,0.113235116,-12.467191979946014
81.67,638.6211877669645,0.10853842,-12.468487261885404
81.68,649.9823181574211,0.10143906,-12.47759061320802
81.69,660.7712788636223,0.03755784,-12.435788907745843
81.7,690.1502989065096,0.056593537,-12.32909146640635
81.71,677.7372588952053,0.04867798,-12.16361999689355
81.72,662.7209593568874,0.054199457,-12.032098664048096
81.73,648.5962675820838,0.055636704,-12.190432284200918
81.74,640.56170623436,0.09302375,-12.365574604958876
81.75,634.6790696374285,0.087685406,-12.159611624874573
81.76,582.478556516739,0.19120291,-11.915187431489402
81.77,576.2445424146127,0.5058492,-11.817197554492223
81.78,569.5758360770845,0.663605,-11.795327433481303
81.79,568.2985942815221,0.8489812,-11.782575207305426
81.8,567.776181652612,0.89392716,-11.767374117920529
81.81,566.4242132634813,0.9186456,-11.764815469256115
81.82,564.8818836080911,0.9371298,-11.829801014068504
81.83,563.1937084722279,0.92828286,-11.866757653307477
81.84,561.8209840072134,0.9187382,-11.834071606887404
81.85,559.4787370550889,0.9183526,-11.897936057589257
81.86,557.4524027959591,0.92219615,-11.930097539075119
81.87,556.0290227660091,0.9279896,-11.98400996214282
81.88,556.0445637957843,0.93615425,-12.022418457010751
81.89,555.9860245942386,0.92835724,-12.081413274155738
81.9,555.7446892984276,0.913697,-12.104863276964135
81.91,554.697696060709,0.89615035,-12.12409909721104
81.92,553.996434689662,0.89074314,-12.236743732804422
81.93,554.9410986526052,0.86724305,-12.287854518427935
81.94,559.5100536626536,0.79924715,-12.305933919670776
81.95,565.9643844312972,0.6205106,-12.389027508848905
81.96,573.259076078906,0.5003655,-12.433296240749009
81.97,585.7056098586894,0.16399512,-12.419960934885973
81.98,657.1309749580189,0.11158767,-12.422870561730425
81.99,624.1785244798616,0.114219755,-12.420522512665462
82.0,688.3752364345497,0.095565915,-12.455944102859933
82.01,645.9369147269571,0.12005076,-12.452431321968247
82.02,658.4148849650294,0.0991599,-12.459021495118227
82.03,638.7948455476095,0.094533235,-12.444308204748136
82.04,623.4525290293416,0.07104498,-12.433537010160743
82.05,639.7615771614672,0.029547036,-12.479611080665995
82.06,650.3672430967283,0.064789,-12.437527253267096
82.07,658.3850115459627,0.11879033,-12.439465811168128
82.08,656.7775090061466,0.10529947,-12.445539623229095
82.09,625.3561413984576,0.10876453,-12.434791730427014
82.1,635.4344771559996,0.114264816,-12.443238912525555
82.11,645.8212956849052,0.13750193,-12.450370557659864
82.12,657.655156982577,0.12227723,-12.461114340877968
82.13,633.1817581099538,0.07990819,-12.397273720004064
82.14,632.6607191828016,0.12235314,-11.909866518577278
82.15,613.6051190922565,0.115342885,-11.284215571112602
82.16,595.9586025050086,0.090390146,-11.247169747755148
82.17,592.5809989626197,0.13008577,-11.732641845675357
82.18,591.2539054347283,0.1057632,-12.018231818723278
82.19,591.6469459360536,0.11188769,-12.093900318250277
82.2,591.8077417191824,0.060788393,-12.269245054288461
